BFS_NR_GEMEINDE;GEMEINDE_NAME;BEZIRK_NR;BEZIRK_NAME;JAHR;STAATSANGEHOERIGKEIT_CODE;STAATSANGEHOERIGKEIT_BEZEICHNUNG;ANZAHL_PERSONEN
4683;Lengwil;2013;Bezirk Kreuzlingen;2019;8255;Mazedonien;17; 
4683;Lengwil;2013;Bezirk Kreuzlingen;2019;8231;Portugal;6; 
4683;Lengwil;2013;Bezirk Kreuzlingen;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);92; 
4691;Münsterlingen;2013;Bezirk Kreuzlingen;2019;8207;Deutschland;739; 
4691;Münsterlingen;2013;Bezirk Kreuzlingen;2019;8218;Italien;91; 
4691;Münsterlingen;2013;Bezirk Kreuzlingen;2019;8255;Mazedonien;39; 
4691;Münsterlingen;2013;Bezirk Kreuzlingen;2019;8231;Portugal;13; 
4691;Münsterlingen;2013;Bezirk Kreuzlingen;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);413; 
4696;Tägerwilen;2013;Bezirk Kreuzlingen;2019;8207;Deutschland;1171; 
4696;Tägerwilen;2013;Bezirk Kreuzlingen;2019;8218;Italien;173; 
4696;Tägerwilen;2013;Bezirk Kreuzlingen;2019;8255;Mazedonien;99; 
4696;Tägerwilen;2013;Bezirk Kreuzlingen;2019;8231;Portugal;37; 
4696;Tägerwilen;2013;Bezirk Kreuzlingen;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);279; 
4701;Wäldi;2013;Bezirk Kreuzlingen;2019;8207;Deutschland;122; 
4701;Wäldi;2013;Bezirk Kreuzlingen;2019;8218;Italien;32; 
4701;Wäldi;2013;Bezirk Kreuzlingen;2019;8255;Mazedonien;2; 
4701;Wäldi;2013;Bezirk Kreuzlingen;2019;8231;Portugal;1; 
4701;Wäldi;2013;Bezirk Kreuzlingen;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);40; 
4711;Affeltrangen;2015;Bezirk Weinfelden;2019;8207;Deutschland;83; 
4711;Affeltrangen;2015;Bezirk Weinfelden;2019;8218;Italien;47; 
4711;Affeltrangen;2015;Bezirk Weinfelden;2019;8255;Mazedonien;47; 
4711;Affeltrangen;2015;Bezirk Weinfelden;2019;8231;Portugal;22; 
4711;Affeltrangen;2015;Bezirk Weinfelden;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);216; 
4716;Bettwiesen;2014;Bezirk Münchwilen;2019;8207;Deutschland;50; 
