BFS_NR_GEMEINDE;GEMEINDE_NAME;BEZIRK_NR;BEZIRK_NAME;JAHR;GESCHLECHT_CODE;GESCHLECHT_BEZEICHNUNG;NATIONALITAET_CODE;NATIONALITAET_BEZEICHNUNG;ANZAHL_PERSONEN
4643;Bottighofen;2013;Bezirk Kreuzlingen;2019;2;Weiblich;2;Ausland;374; 
4646;Ermatingen;2013;Bezirk Kreuzlingen;2019;1;Männlich;1;Schweiz;1153; 
4646;Ermatingen;2013;Bezirk Kreuzlingen;2019;1;Männlich;2;Ausland;602; 
4646;Ermatingen;2013;Bezirk Kreuzlingen;2019;2;Weiblich;1;Schweiz;1248; 
4646;Ermatingen;2013;Bezirk Kreuzlingen;2019;2;Weiblich;2;Ausland;518; 
4651;Gottlieben;2013;Bezirk Kreuzlingen;2019;1;Männlich;1;Schweiz;92; 
4651;Gottlieben;2013;Bezirk Kreuzlingen;2019;1;Männlich;2;Ausland;71; 
4651;Gottlieben;2013;Bezirk Kreuzlingen;2019;2;Weiblich;1;Schweiz;105; 
4651;Gottlieben;2013;Bezirk Kreuzlingen;2019;2;Weiblich;2;Ausland;63; 
4656;Güttingen;2013;Bezirk Kreuzlingen;2019;1;Männlich;1;Schweiz;661; 
4656;Güttingen;2013;Bezirk Kreuzlingen;2019;1;Männlich;2;Ausland;187; 
4656;Güttingen;2013;Bezirk Kreuzlingen;2019;2;Weiblich;1;Schweiz;651; 
4656;Güttingen;2013;Bezirk Kreuzlingen;2019;2;Weiblich;2;Ausland;157; 
4666;Kemmental;2013;Bezirk Kreuzlingen;2019;1;Männlich;1;Schweiz;1070; 
4666;Kemmental;2013;Bezirk Kreuzlingen;2019;1;Männlich;2;Ausland;260; 
4666;Kemmental;2013;Bezirk Kreuzlingen;2019;2;Weiblich;1;Schweiz;1037; 
4666;Kemmental;2013;Bezirk Kreuzlingen;2019;2;Weiblich;2;Ausland;224; 
4671;Kreuzlingen;2013;Bezirk Kreuzlingen;2019;1;Männlich;1;Schweiz;4723; 
4671;Kreuzlingen;2013;Bezirk Kreuzlingen;2019;1;Männlich;2;Ausland;6404; 
4671;Kreuzlingen;2013;Bezirk Kreuzlingen;2019;2;Weiblich;1;Schweiz;5304; 
4671;Kreuzlingen;2013;Bezirk Kreuzlingen;2019;2;Weiblich;2;Ausland;5762; 
4681;Langrickenbach;2013;Bezirk Kreuzlingen;2019;1;Männlich;1;Schweiz;546; 
4681;Langrickenbach;2013;Bezirk Kreuzlingen;2019;1;Männlich;2;Ausland;113; 
4681;Langrickenbach;2013;Bezirk Kreuzlingen;2019;2;Weiblich;1;Schweiz;510; 
4681;Langrickenbach;2013;Bezirk Kreuzlingen;2019;2;Weiblich;2;Ausland;105; 
4683;Lengwil;2013;Bezirk Kreuzlingen;2019;1;Männlich;1;Schweiz;618; 
4683;Lengwil;2013;Bezirk Kreuzlingen;2019;1;Männlich;2;Ausland;242; 
4683;Lengwil;2013;Bezirk Kreuzlingen;2019;2;Weiblich;1;Schweiz;642; 
4683;Lengwil;2013;Bezirk Kreuzlingen;2019;2;Weiblich;2;Ausland;236; 
4691;Münsterlingen;2013;Bezirk Kreuzlingen;2019;1;Männlich;1;Schweiz;1055; 
4691;Münsterlingen;2013;Bezirk Kreuzlingen;2019;1;Männlich;2;Ausland;675; 
4691;Münsterlingen;2013;Bezirk Kreuzlingen;2019;2;Weiblich;1;Schweiz;1145; 
4691;Münsterlingen;2013;Bezirk Kreuzlingen;2019;2;Weiblich;2;Ausland;620; 
4696;Tägerwilen;2013;Bezirk Kreuzlingen;2019;1;Männlich;1;Schweiz;1474; 
4696;Tägerwilen;2013;Bezirk Kreuzlingen;2019;1;Männlich;2;Ausland;900; 
4696;Tägerwilen;2013;Bezirk Kreuzlingen;2019;2;Weiblich;1;Schweiz;1532; 
4696;Tägerwilen;2013;Bezirk Kreuzlingen;2019;2;Weiblich;2;Ausland;859; 
